,Date,Open,High,Low,Close,Volume,Market Cap
261,2018-09-19,0.320324,0.334734,0.313853,0.326053,489609000.0,12979866409.2
262,2018-09-20,0.326441,0.477467,0.322347,0.449918,1291360000.0,17910816754.0
263,2018-09-21,0.452836,0.76938,0.429052,0.561462,4101490000.0,22351279558.4
264,2018-09-22,0.565468,0.609112,0.495737,0.570798,2411430000.0,22722937027.6
265,2018-09-23,0.57522,0.595025,0.559651,0.570689,1043970000.0,22718597839.0
266,2018-09-24,0.570614,0.580377,0.489646,0.494712,1034380000.0,19724616281.8
267,2018-09-25,0.487622,0.546061,0.441519,0.526941,1639680000.0,21009615752.5
268,2018-09-26,0.520288,0.566711,0.491498,0.516308,1821610000.0,20585668395.4
269,2018-09-27,0.516478,0.550922,0.513967,0.541381,824083000.0,21585351653.6
270,2018-09-28,0.54303,0.548805,0.522197,0.539112,718255000.0,21494884565.0
271,2018-09-29,0.539412,0.587431,0.529954,0.571228,1034370000.0,22775378623.2
272,2018-09-30,0.568045,0.618702,0.564195,0.581572,1329720000.0,23187803288.1
273,2018-10-01,0.583511,0.602337,0.537349,0.576461,1412800000.0,23021206667.6
274,2018-10-02,0.577145,0.577145,0.518287,0.520837,743705000.0,20799839394.4
275,2018-10-03,0.51722,0.536097,0.512269,0.528162,789229000.0,21092366276.3
276,2018-10-04,0.528892,0.547161,0.52625,0.526606,621615000.0,21030226777.6
277,2018-10-05,0.52753,0.530432,0.51032,0.519026,589636000.0,20727516366.0
278,2018-10-06,0.519354,0.520882,0.470532,0.488082,672167000.0,19491755023.8
279,2018-10-07,0.490268,0.490268,0.469887,0.482039,548645000.0,19250425338.2
280,2018-10-08,0.484018,0.496593,0.479386,0.489751,540832000.0,19558407223.9
281,2018-10-09,0.490604,0.491133,0.471116,0.479857,416867000.0,19163286272.5
282,2018-10-10,0.479151,0.479151,0.459042,0.462387,412207000.0,18494386175.9
283,2018-10-11,0.461497,0.461497,0.381614,0.38313,791202000.0,15324293666.5
284,2018-10-12,0.379313,0.439544,0.378914,0.419115,820154000.0,16763608540.3
285,2018-10-13,0.416294,0.425624,0.414515,0.418878,373875000.0,16754129100.9
286,2018-10-14,0.418573,0.424992,0.40146,0.403286,289195000.0,16130485985.4
287,2018-10-15,0.401654,0.472133,0.396701,0.447316,1041470000.0,17891581827.9
288,2018-10-16,0.448066,0.47099,0.445319,0.470253,605102000.0,18809007568.1
